,Pais,Total Fallecidos Vias Respiratorias,Media Fallecidos Vias Respiratorias,Total Fallecidos Sepsis,Media Fallecidos Sepsis,Total Fallecidos Meningitis Encefalitis,Media Fallecidos Meningitis Encefalitis,Total Fallecidos Malaria,Media Fallecidos Malaria,Total Fallecidos Sarampion,Media Fallecidos Sarampion,Total Fallecidos VIH,Media Fallecidos VIH,Total Fallecidos Diarrea,Media Fallecidos Diarrea,Vacunación contra la poliomielitis entre los niños de 1 año (%),Vacunación de antineumocócicas conjugadas en niños de 1 año (%),Vacunación de la primera dosis contra el sarampión (%),Vacunación de la segunda dosis contra el sarampión (%),Vacunación contra la hepatitis B entre los niños de 1 año (%),Vacunación contra Hib entre niños de 1 año (%),Vacunación contra la tos ferina y el toxoide tetánico diftérico en niños de 1 año (%),Vacunación con BCG en niños de 1 año (%),Centros de salud (Densidad por 100000 hab.),Hospitales (Densidad por 100000 hab.),Doctores medicos (por 10000 hab.),Enfermeros y personal de parto (por 10000 hab.),Farmaceuticos (por 10000 hab.),Camas de hospital (por 10000 hab.),Niños con bajo peso al nacer(%),Prevalencia de anemia en niños menores de 5 años (%),Niños amamantados en sus primeros 6 meses de vida (%),Concentracion de partículas finas (polucion) en el aire,"DALY debido al agua, saneamiento e higiene en niños menores de 5 años","Muertes debido al agua, saneamiento e higiene en niños menores de 5 años"
45,Croatia,166,9.222222222222221,222,12.333333333333334,73,4.055555555555555,0,0.0,0,0.0,0,0.0,15,0.8333333333333334,63.853658536585364,NaN,63.68292682926829,87.9047619047619,38.5,56.53333333333333,63.707317073170735,66.97560975609755,0.3,1.54,27.311647058823528,53.073407407407416,5.2925,57.0611111111111,5.0375000000000005,4.151891891891892,23.5,17.0 ,183,0
46,Cuba,1609,89.38888888888889,922,51.22222222222222,423,23.5,0,0.0,0,0.0,9,0.5,228,12.666666666666666,94.51219512195122,NaN,90.70731707317073,67.66666666666667,81.59375,68.36666666666666,91.5609756097561,96.09756097560975,0.64,2.04,62.32599999999999,91.01559999999998,,51.74285714285714,5.4125,4.478378378378378,37.25,18.4 ,2190,9
47,Cyprus,14,0.7777777777777778,15,0.8333333333333334,15,0.8333333333333334,0,0.0,0,0.0,0,0.0,0,0.0,85.78048780487805,31.153846153846153,74.26829268292683,54.76190476190476,75.9375,53.13333333333333,85.92682926829268,NaN,3.385,7.54,19.83915384615384,33.03978571428571,1.606076923076923,36.50714285714286,NaN,2.4156756756756756,12.0,16.8 ,313,7
48,Czechia,406,22.555555555555557,266,14.777777777777779,119,6.611111111111111,0,0.0,0,0.0,0,0.0,43,2.388888888888889,64.29268292682927,NaN,63.97560975609756,91.42857142857143,54.53125,58.53333333333333,64.39024390243902,40.51219512195122,0.16,1.29,34.9342,81.59522222222222,5.173482758620689,71.92631578947368,7.1625,3.8902702702702707,18.0,15.1 ,499,3
49,Democratic People's Republic of Korea,38343,2130.1666666666665,12260,681.1111111111111,7590,421.6666666666667,0,0.0,60,3.3333333333333335,72,4.0,18146,1008.1111111111111,84.39024390243902,NaN,75.51219512195122,48.0,48.1875,23.366666666666667,74.95121951219512,82.07317073170732,3.955,6.86,34.654833333333336,41.873,3.6793333333333336,143.0,NaN,4.647027027027026,67.0,30.4 ,144470,4171
50,Democratic Republic of the Congo,732634,40701.88888888889,233226,12957.0,189608,10533.777777777777,1233827,68545.94444444444,649050,36058.333333333336,109232,6068.444444444444,491337,27296.5,42.46341463414634,31.153846153846153,43.73170731707317,NaN,26.34375,23.6,40.5609756097561,57.4390243902439,,0.45,0.9165000000000001,7.079833333333333,0.04533333333333334,8.0,11.59375,10.70810810810811,33.42,37.6 ,3011743,86843
51,Denmark,81,4.5,90,5.0,64,3.5555555555555554,2,0.1111111111111111,0,0.0,0,0.0,18,1.0,93.53658536585365,78.07692307692308,71.63414634146342,78.95238095238095,NaN,83.36666666666666,89.21951219512195,NaN,4.494999999999999,1.01,32.62931034482758,97.18203703703702,4.520629629629629,33.926315789473676,5.281249999999999,1.671351351351351,17.0,10.1 ,375,3
52,Djibouti,5121,284.5,1811,100.61111111111111,824,45.77777777777778,23,1.2777777777777777,1019,56.611111111111114,1266,70.33333333333333,3267,181.5,53.34146341463415,42.69230769230769,52.073170731707314,31.047619047619047,31.71875,33.86666666666667,53.41463414634146,60.390243902439025,NaN,NaN,1.8708000000000002,6.2554,1.0621666666666665,15.313333333333333,NaN,7.477837837837837,12.4,40.4 ,16683,484
53,Dominica,17,0.9444444444444444,51,2.8333333333333335,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,92.3170731707317,NaN,86.2439024390244,83.0952380952381,39.4375,42.06666666666667,93.2439024390244,91.95121951219512,0.0,5.56,11.348999999999998,62.331714285714284,2.582,NaN,NaN,5.027027027027027,NaN,18.2 ,18,0
54,Dominican Republic,16412,911.7777777777778,11218,623.2222222222222,1560,86.66666666666667,12,0.6666666666666666,0,0.0,3095,171.94444444444446,7330,407.22222222222223,72.8048780487805,21.76923076923077,70.39024390243902,4.333333333333333,54.25,46.333333333333336,70.78048780487805,79.0,NaN,NaN,14.6728,14.048599999999999,2.5535,15.872727272727273,11.506249999999998,4.528648648648649,9.754545454545454,12.9 ,29059,777
