,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$
Iran (Islamic Republic of),484.29,478.36,458.26,379.28,387.38,418.89,525.58,530.71,445.66,371.42,302.45,248.38,199.80,174.84,142.40,116.62,105.77,94.62,80.86
Iraq,239.41,214.36,154.19,156.84,190.69,199.52,183.92,168.75,150.46,167.36,132.11,98.87,57.20,53.76,53.51,28.15,,,
Ireland,5489.07,5019.70,4717.57,4561.74,5399.60,5331.60,5239.34,5570.71,5133.46,5502.89,5638.78,4858.65,4147.13,3938.19,3483.16,2910.93,2200.36,1823.73,1564.84
Israel,3323.65,3212.79,2813.34,2670.47,2819.57,2678.36,2402.92,2437.05,2234.95,2039.00,2144.82,1799.73,1593.61,1555.04,1488.16,1433.67,1403.32,1559.08,1513.94
Italy,2989.00,2809.72,2699.73,2675.67,3154.28,3149.24,3086.30,3392.01,3217.68,3337.75,3504.11,3092.56,2832.70,2677.55,2565.63,2163.03,1762.54,1586.66,1524.24
Jamaica,320.98,311.87,276.46,276.06,249.72,247.21,254.51,267.74,249.08,223.11,276.54,246.01,182.26,186.54,179.38,146.88,171.27,177.26,191.47
Japan,4266.59,4121.04,4174.42,3733.38,4099.28,4336.11,5212.18,5087.36,4060.49,3686.15,3213.70,2772.70,2754.38,2883.30,2875.93,2642.23,2404.65,2479.81,2740.67
Jordan,330.14,337.76,298.81,310.68,297.83,289.82,305.72,313.93,305.29,328.35,293.36,227.06,202.45,193.50,184.51,171.05,174.00,170.05,159.15
Kazakhstan,275.85,281.62,263.48,319.05,380.66,370.09,377.13,303.98,249.27,251.50,256.54,180.50,177.01,144.70,112.71,76.03,59.47,51.57,51.00
Kenya,88.39,75.85,72.51,69.78,71.83,66.81,63.82,56.47,58.21,54.56,54.57,49.52,40.29,30.47,27.09,25.04,21.69,21.26,20.52
Kiribati,196.85,175.07,147.78,123.35,162.96,162.52,154.00,148.80,139.50,176.55,200.84,156.48,134.91,139.92,140.30,108.27,98.50,90.62,68.89
Kuwait,1711.22,1560.54,1114.58,1199.36,1409.09,1276.95,1337.65,1272.99,1063.56,1453.46,1072.81,976.57,964.02,846.28,744.81,715.63,637.45,598.41,463.86
Kyrgyzstan,85.74,76.98,71.92,80.12,94.02,104.78,99.99,79.83,61.45,60.65,63.82,50.84,45.97,36.11,27.23,22.32,14.77,13.16,12.29
Lao People's Democratic Republic,57.11,61.21,54.51,52.38,45.93,43.81,32.84,27.45,34.97,36.24,27.19,25.21,19.60,17.69,16.58,17.97,13.18,14.77,14.39
Latvia,1101.49,932.50,874.80,775.86,856.77,807.13,745.52,764.59,689.08,744.66,913.52,775.19,552.30,440.81,393.30,280.51,237.30,205.02,181.57
Lebanon,686.47,661.43,609.06,587.46,605.24,600.77,633.51,627.64,577.36,515.39,477.76,445.78,400.71,345.36,370.42,385.03,418.09,459.47,479.60
Lesotho,124.79,111.64,89.39,103.63,113.72,116.81,117.14,125.03,94.70,80.58,68.62,65.21,48.56,40.77,40.47,31.49,22.34,26.13,26.24
